출발역,도착역,소요시간_분,거리_m,환승횟수
4.19민주묘지역,제기동역,26,12100,1
4.19민주묘지역,동묘앞역,26,12100,1
4.19민주묘지역,신설동역,20,11000,0
4.19민주묘지역,외대앞역,32,15400,1
4.19민주묘지역,남영역,40,19800,1
4.19민주묘지역,문래역,55,27500,2
4.19민주묘지역,아현역,40,19800,2
4.19민주묘지역,한양대역,38,16500,2
4.19민주묘지역,잠실나루역,44,19800,2
4.19민주묘지역,양천구청역,64,28600,2
4.19민주묘지역,신정네거리역,69,29700,2
4.19민주묘지역,독립문역,40,18700,2
4.19민주묘지역,무악재역,42,19800,2
4.19민주묘지역,금호역,36,16500,2
4.19민주묘지역,옥수역,37,17600,2
4.19민주묘지역,잠원역,44,20900,2
4.19민주묘지역,한성대입구역,22,9900,1
4.19민주묘지역,성신여대입구역,16,8800,0
4.19민주묘지역,수유역,28,13200,1
4.19민주묘지역,이촌역,44,22000,1
4.19민주묘지역,동작역,46,23100,1
4.19민주묘지역,마장역,41,15400,2
4.19민주묘지역,애오개역,44,19800,2
4.19민주묘지역,신금호역,36,15400,2
4.19민주묘지역,아차산역,49,19800,2
4.19민주묘지역,영등포시장역,54,25300,2
4.19민주묘지역,방이역,64,26400,2
4.19민주묘지역,보문역,18,9900,0
4.19민주묘지역,창신역,24,11000,1
4.19민주묘지역,효창공원앞역,44,22000,1
4.19민주묘지역,광흥창역,50,25300,1
4.19민주묘지역,월드컵경기장역,59,22000,1
4.19민주묘지역,고려대역,26,12100,1
4.19민주묘지역,공릉역,42,18700,2
4.19민주묘지역,어린이대공원역,44,17600,3
4.19민주묘지역,용마산역,52,24200,2
4.19민주묘지역,자양역,44,17600,3
4.19민주묘지역,하계역,42,18700,2
4.19민주묘지역,남성역,54,25300,2
4.19민주묘지역,암사역,58,25300,3
4.19민주묘지역,몽촌토성역,52,22000,3
4.19민주묘지역,강동구청역,54,23100,3
4.19민주묘지역,송파역,54,23100,3
4.19민주묘지역,석촌역,52,22000,3
4.19민주묘지역,노들역,50,23100,2
4.19민주묘지역,선유도역,57,27500,2
4.19민주묘지역,한성백제역,67,24200,3
4.19민주묘지역,양천향교역,70,23100,3
4.19민주묘지역,흑석역,52,24200,2
4.19민주묘지역,공항시장역,77,24200,3
가락시장역,제기동역,42,14300,2
가락시장역,동묘앞역,43,14300,1
가락시장역,신설동역,36,13200,2
가락시장역,외대앞역,52,17600,2
가락시장역,남영역,44,22000,2
가락시장역,문래역,53,24200,1
가락시장역,아현역,44,22000,1
가락시장역,한양대역,24,11000,1
가락시장역,잠실나루역,12,4400,1
가락시장역,양천구청역,54,25300,2
가락시장역,신정네거리역,56,26400,2
가락시장역,독립문역,48,26400,0
가락시장역,무악재역,50,27500,0
가락시장역,금호역,32,17600,0
가락시장역,옥수역,30,16500,0
가락시장역,잠원역,24,13200,0
가락시장역,한성대입구역,49,18700,2
가락시장역,성신여대입구역,51,15400,2
가락시장역,수유역,55,19800,2
가락시장역,이촌역,40,17600,2
가락시장역,동작역,30,16500,1
가락시장역,마장역,28,13200,1
가락시장역,애오개역,50,25300,1
가락시장역,신금호역,34,16500,1
가락시장역,아차산역,20,8800,1
가락시장역,영등포시장역,45,24200,2
가락시장역,방이역,10,3300,1
가락시장역,보문역,45,14300,1
가락시장역,창신역,43,16500,1
가락시장역,효창공원앞역,50,22000,1
가락시장역,광흥창역,56,28600,1
가락시장역,월드컵경기장역,66,34100,1
가락시장역,고려대역,51,16500,1
가락시장역,공릉역,44,19800,2
가락시장역,어린이대공원역,24,8800,2
가락시장역,용마산역,30,12100,2
가락시장역,자양역,24,8800,2
가락시장역,하계역,46,20900,2
가락시장역,남성역,32,15400,1
가락시장역,암사역,14,7700,0
가락시장역,몽촌토성역,8,4400,0
가락시장역,강동구청역,10,5500,0
가락시장역,송파역,2,1100,0
가락시장역,석촌역,4,2200,0
가락시장역,노들역,34,18700,1
가락시장역,선유도역,44,25300,1
가락시장역,한성백제역,12,4400,1
가락시장역,양천향교역,54,31900,1
가락시장역,흑석역,32,17600,1
가락시장역,공항시장역,65,28600,2
가산디지털단지역,제기동역,42,18700,0
가산디지털단지역,동묘앞역,38,16500,0
가산디지털단지역,신설동역,40,17600,0
가산디지털단지역,외대앞역,49,22000,0
